iter	Passed	Remaining
0	139	139045
1	141	70560
2	143	47758
3	153	38183
4	156	31193
5	163	27152
6	257	36490
7	258	32068
8	259	28594
9	260	25813
10	264	23760
11	266	21915
12	267	20300
13	269	18987
14	270	17785
15	273	16844
16	275	15916
17	276	15070
18	277	14308
19	279	13709
20	281	13129
21	282	12564
22	283	12042
23	288	11752
24	290	11346
25	291	10937
26	292	10556
27	294	10207
28	295	9879
29	295	9570
30	301	9428
31	303	9178
32	304	8921
33	305	8674
34	306	8449
35	307	8232
36	308	8024
37	309	7843
38	312	7688
39	315	7563
40	317	7420
41	318	7262
42	319	7108
43	320	6964
44	322	6840
45	327	6783
46	329	6681
47	334	6637
48	336	6530
49	337	6414
50	338	6303
51	339	6194
52	340	6086
53	341	5984
54	343	5908
55	347	5857
56	348	5773
57	349	5682
58	350	5594
59	351	5507
60	352	5428
61	353	5349
62	359	5340
63	360	5274
64	362	5208
65	363	5139
66	364	5070
67	364	4999
68	365	4935
69	366	4871
70	368	4817
71	372	4798
72	373	4748
73	374	4690
74	375	4634
75	376	4578
76	377	4528
77	383	4537
78	385	4491
79	386	4441
80	387	4393
81	388	4348
82	389	4301
83	390	4255
84	390	4207
85	391	4163
86	393	4125
87	394	4088
88	395	4050
89	396	4010
90	397	3971
91	398	3933
92	400	3901
93	400	3864
94	405	3861
95	407	3834
96	408	3800
97	409	3767
98	410	3735
99	411	3702
100	412	3672
101	413	3636
102	414	3606
103	419	3615
104	421	3589
105	422	3561
106	423	3531
107	424	3503
108	425	3474
109	425	3446
110	427	3420
111	427	3393
112	433	3405
113	435	3381
114	436	3356
115	436	3329
116	437	3304
117	438	3279
118	439	3255
119	440	3231
120	443	3224
121	445	3206
122	446	3180
123	446	3157
124	447	3135
125	448	3113
126	449	3092
127	450	3068
128	451	3047
129	452	3028
130	456	3029
131	458	3014
132	460	3002
133	464	2999
134	465	2983
135	467	2968
136	468	2951
137	469	2932
138	470	2916
139	471	2899
140	475	2898
141	478	2893
142	480	2880
143	481	2862
144	482	2844
145	483	2826
146	484	2810
147	485	2793
148	486	2776
149	487	2761
150	491	2763
151	493	2750
152	494	2737
153	495	2722
154	496	2707
155	497	2692
156	499	2679
157	500	2664
158	501	2655
159	541	2843
160	543	2829
161	549	2842
162	551	2830
163	552	2817
164	555	2813
165	557	2800
166	558	2787
167	560	2774
168	562	2764
169	563	2752
170	565	2742
171	567	2730
172	571	2732
173	573	2723
174	574	2710
175	580	2717
176	582	2708
177	583	2695
178	585	2683
179	587	2677
180	601	2720
181	603	2710
182	604	2700
183	607	2693
184	608	2680
185	609	2667
186	611	2657
187	612	2644
188	617	2650
189	619	2640
